t,x,y,z,yaw
1776899695.2773666,260.54858980201436,164.13410986934966,179.39449730420188,-1.607394414752077
1776899695.288353,260.68655067065805,164.2115686483706,179.50024148070705,-1.6082871050853413
1776899695.322892,260.5669264420556,164.17314568346887,179.41328873843054,-1.6070599004107504
1776899695.3229206,260.68599580682775,164.24935420807478,179.50484792687638,-1.608195516252881
1776899695.3253098,260.5147448181969,164.20125762280801,179.38770247671036,-1.6076782816771324
1776899695.3253446,260.6773947599902,164.23446733245822,179.49789330330458,-1.6081878718541518
1776899695.336391,260.6609796400395,164.2047114239031,179.50382974372633,-1.6081281654543322
1776899695.3443487,260.5173788182717,164.11490635271045,179.42544983239662,-1.6072214931059814
1776899695.3563364,260.6501937647666,164.1567913846377,179.50468544049292,-1.6080788624456481
1776899695.364328,260.52809850367464,164.0531341204036,179.4414782218875,-1.6073867068610135
1776899695.3747122,260.6711283898052,164.12645432123216,179.52859592756081,-1.608262030507089
1776899695.3847313,260.5212822177694,164.0817589317533,179.4213746325591,-1.6073012869217764
1776899695.4089994,260.5415761772864,164.11146696932627,179.42140434070242,-1.6074527560494798
1776899695.412094,260.5624711817214,164.13429239117238,179.43270630149826,-1.6074685268600422
1776899695.4146416,260.54717266703767,164.1578788794673,179.4258431524198,-1.607401623965997
1776899695.4250598,260.7155367950278,164.2477480153064,179.52127107580512,-1.6081537557865033
1776899695.4352076,260.5278106063675,164.18530579368922,179.40842088850064,-1.607235999812494
1776899695.445612,260.65650784148403,164.2540386577422,179.51934782622504,-1.6081408815241367
1776899695.4552262,260.52492820776126,164.1674301944335,179.4056374395192,-1.607414526322639
1776899695.4652302,260.6410204753372,164.20999795120974,179.5019128245802,-1.6082566259522635
1776899695.4758048,260.52603797446625,164.10594318999964,179.4185797208145,-1.60739889738544
1776899695.4897814,260.6356957979069,164.13487543142438,179.52362595775966,-1.608462907561963
1776899695.5148938,260.6422420312486,164.14305248385116,179.49046216610142,-1.6083434067720002
1776899695.516443,260.51333720856206,164.05584438006318,179.40135744862673,-1.607609154730973
1776899695.521676,260.51177383093915,164.06006857804428,179.3900475602305,-1.607490025298382
1776899695.526043,260.54534427974585,164.09151037469945,179.39409624326777,-1.6074792827415836
1776899695.5345974,260.54489039893923,164.12498137137777,179.4018112501684,-1.6075625452361315
1776899695.5457692,260.57817621610144,164.13718763191576,179.42990191492976,-1.6073137233937074
1776899695.5566566,260.5553194758971,164.17173497174122,179.40107889192208,-1.607204234836341
1776899695.5652988,260.69265057034926,164.2372320229273,179.51472593022757,-1.6081777535766908
1776899695.580945,260.5386553930285,164.17159988267179,179.40551020297866,-1.6074653244680306
1776899695.584677,260.54559921182164,164.15310180800384,179.4239577981762,-1.6073124147939577
1776899695.5991037,260.53680181885494,164.13332879689995,179.41157150213002,-1.6073823594694152
1776899695.6250575,260.5146624465004,164.10648323702006,179.42706779678872,-1.6074617060813627
1776899695.6250792,260.521516349356,164.08894038103446,179.431025362688,-1.6075313744714863
1776899695.6264005,260.6764755898048,164.10236207422662,179.52481996032301,-1.6083316905602345
1776899695.6351926,260.67187799019774,164.11032936283866,179.50127065270866,-1.608304144083662
1776899695.6446905,260.5426112246922,164.0765216290506,179.41856548283653,-1.607668137782589
1776899695.6553972,260.52832412815246,164.08645086737673,179.39390045404002,-1.6074640800476736
1776899695.7024517,260.53641437376,164.125116585171,179.40019121061087,-1.6074991056930394
1776899695.7024732,260.5804433511063,164.15173026140434,179.42392015455957,-1.6073346600670693
1776899695.7271898,260.5522357946281,164.17823100715393,179.40393897588305,-1.6077624340058851
1776899695.7272036,260.68673410491664,164.23938868331948,179.5145076192698,-1.6083452322360081
1776899695.7272074,260.6843001774225,164.2360811651942,179.5065055695202,-1.6084045905768125
1776899695.730979,260.5356634281964,164.14855508619786,179.40719341900538,-1.6076149242030648
1776899695.7310193,260.52589828861665,164.13270513146517,179.4152242702782,-1.6072572227939665
1776899695.7349384,260.5021267124549,164.09508522464407,179.3968461933104,-1.607405178765199
1776899695.7444034,260.65099055745196,164.1294436856519,179.50044421998626,-1.6082982399754386
1776899695.7556787,260.64916022058406,164.1042859398893,179.49772205541967,-1.6082901090237933
1776899695.7648063,260.63133953279356,164.1036705663821,179.49907362977459,-1.6085235595448324
1776899695.7788255,260.67228510247276,164.12475637916504,179.50575137741,-1.608103484789165
1776899695.789649,260.54887488710295,164.09111607954918,179.41480904616898,-1.6076121597379316
1776899695.8166914,260.5634608235319,164.11487941941172,179.40536823152274,-1.6074376822499354
1776899695.8215332,260.5580742710965,164.15160649179813,179.3979050908641,-1.607431462335986
1776899695.822533,260.5560351838759,164.166855243304,179.36446559979922,-1.6074517501181405
1776899695.8244386,260.5784826824384,164.16732029997956,179.39795243810497,-1.6074714822749847
1776899695.8373692,260.6930952746801,164.23430171647288,179.52734183383936,-1.6081089501665304
1776899695.8445296,260.54812654373,164.15636904609215,179.42506533178553,-1.6072383103493084
