t,x,y,z,yaw
1776899774.5652215,100.62431876466528,1903.9128034523483,164.886569196102,-1.579784058758745
1776899774.574447,100.61788471556557,1903.8930461940256,164.88950650575927,-1.5798827465367637
1776899774.5890932,100.59754199376103,1903.8916737649363,164.90616235186496,-1.579756332919312
1776899774.5891204,100.59940121715384,1903.9059045175727,164.89426655456268,-1.5798561975838528
1776899774.5891314,100.59342293627968,1903.8894604388045,164.87433479389034,-1.579839297649469
1776899774.5989661,100.61563986251693,1903.875343841415,164.89763871969436,-1.5796675072002937
1776899774.6099186,100.58379985697995,1903.8520446102257,164.8738826648002,-1.5794807772808166
1776899774.6193974,100.5869909766599,1903.8596885342895,164.85959258413735,-1.5793967505880415
1776899774.6328838,100.48036119701972,1903.9519972314854,165.03351659272246,-1.5813974338877
1776899774.6528616,100.47569703298103,1903.9042799168753,165.02744806543095,-1.581081599116884
1776899774.6677973,100.62595368680546,1903.9006155518568,164.87953305923628,-1.57968371391827
1776899774.67216,100.49143208062586,1903.9517902472792,165.0341250696601,-1.5812560267736693
1776899774.6741571,100.59152792415067,1903.8733926906546,164.8618575845442,-1.5794702419434197
1776899774.6794362,100.45268431703039,1903.9626590508146,165.05145588528444,-1.581494002408387
1776899774.689495,100.60538744019148,1903.9099869526126,164.8904323102731,-1.579805243911948
1776899774.6988313,100.56168262248607,1903.856090579219,164.87816799161615,-1.5796361431401607
1776899774.7092967,100.60228670357336,1903.8938509177406,164.89098356217139,-1.5797157036080076
1776899774.7194817,100.59663843366228,1903.8853328159323,164.89782278779558,-1.5797823163398272
1776899774.789101,100.58616012268615,1903.893979031816,164.90978301678825,-1.5797414868079673
1776899774.789127,100.57585135128473,1903.8479910207695,164.87113101310206,-1.5795208274364967
1776899774.789133,100.62022089603757,1903.9024549310316,164.89105230561734,-1.5797239560791816
1776899774.7902257,100.46739637695556,1903.9443181316124,165.03198711463727,-1.5813624918962432
1776899774.7902334,100.63353841241334,1903.9201140093965,164.90406594789133,-1.5797489650297802
1776899774.7902389,100.60053069169888,1903.873150608781,164.868982120567,-1.5794752510638246
1776899774.790244,100.48639063759762,1903.9754649804063,165.05092434978,-1.581291379663381
1776899774.7993326,100.63251728695553,1903.912718040704,164.9061918252179,-1.5796871431325188
1776899774.812349,100.62194075614384,1903.9173123338653,164.89454268888932,-1.5798025921194476
1776899774.820279,100.46160711907726,1903.9552218515687,165.04189304952078,-1.5813334377699058
1776899774.8325827,100.60540072220202,1903.9031631470493,164.8874397690712,-1.5797912427630731
1776899774.839921,100.59772332640838,1903.8994267646078,164.90525702015876,-1.5798398357619678
1776899774.8749332,100.60368119662405,1903.9076873915626,164.89360320064003,-1.5797979318967221
1776899774.8760118,100.6026087077525,1903.9054668096016,164.88246399390428,-1.5797792998301887
1776899774.876023,100.5877712404618,1903.843782807836,164.86027401269567,-1.5793380253218807
1776899774.8789365,100.64481351451498,1903.8996160315785,164.90197191186962,-1.5797299716573154
