t,x,y,yaw,vx,vy,v,omega
1776900357.503996,169.02073202355663,1618.7254487497678,-1.6437637198679251,2.2936783883914678,0.752643207539478,-2.4140075284119136,-0.002833185129850927
1776900357.5189805,169.0119730026449,1618.6388046245524,-1.643929105659348,1.7757907499085384,0.5422850512668224,-1.8567460419476296,-0.0014672174612561301
1776900357.5443535,169.03891167118113,1618.7234280835487,-1.6439224854212502,1.3109508928718099,0.3525080396261257,-1.3575176468548944,-0.0002880406124718089
1776900357.5476308,169.04052547968527,1618.727188811945,-1.644059543655829,0.8991588172812826,0.183312172617388,-0.9176545817051108,0.0007043454165020367
1776900357.547642,169.04904633953038,1618.743978095116,-1.6440474348936378,0.5404145231369564,0.034697450240609225,-0.5415272568121974,0.0015099406256654066
1776900357.549101,169.0519204693225,1618.664475692618,-1.643938450693964,0.23471801043883164,-0.0933361275042105,0.2525948873628398,0.002128745015018301
1776900357.5612986,169.0612717123425,1618.7425109748283,-1.6439565651191403,-0.017930720813092188,-0.20078856061707126,0.20158759094634857,0.0025607585845607186
1776900357.5669954,169.17519574865486,1618.6545660884008,-1.6424901862595858,-0.21753167061881482,-0.2876598490979732,0.36064971441175614,0.0028059813342926608
1776900357.5746896,169.03734151836628,1618.669279622474,-1.6441643288073304,-0.3640848389783366,-0.35394999294691626,0.5077778721852729,0.002864413264214128
1776900357.5855322,169.0200518654094,1618.6689014966146,-1.6439414535657988,-0.4575902258916572,-0.39965899216390044,0.6075492777125511,0.0027360543743251194
1776900357.5953245,169.04691249935584,1618.7562776794518,-1.6440602887529796,-0.4980478313618306,-0.42478684676689227,0.6545956824715403,0.0024209046646486154
1776900357.604599,169.0270522652749,1618.7387635144491,-1.643823759559603,-0.4202271888759199,-0.755052805944274,0.8641155189179741,0.0007832017759986654
1776900357.662691,169.0092915574613,1618.6555563621148,-1.643889431614177,-0.2141600212523258,-0.3122399419934254,0.3786268559926175,-4.105487341737879e-05
1776900357.6627104,169.0226669858953,1618.7233925075311,-1.643862571031585,-0.09529079770783966,-0.3229908154019654,0.33675421743732165,-0.0015596297472009746
1776900357.6630874,169.02216833865992,1618.7149188705405,-1.6438679687441171,0.10538545995518689,-0.2640981120197239,0.2843482159999407,-0.00221941809795162
1776900357.663094,169.12638518498449,1618.6231627090149,-1.64251968723907,0.2614583642856374,-0.2957370646584536,0.3947415454037229,-0.0015256799109055752
1776900357.6631048,169.01579914607797,1618.644019423352,-1.6439978071517098,0.44176668308710276,0.050074111586013714,-0.44459556783318166,-0.0007265508329507564
1776900357.664384,169.04307467598753,1618.6516862067783,-1.643978915499693,0.2440721666761263,0.08978511660279764,-0.26006266496626684,-0.003167367216176553
