t,x,y,yaw,vx,vy,v,omega
1776901820.536436,-1259.515127931758,1981.189732779651,-1.6949987406322946,18436.814944046186,-28922.738813190568,34299.28520737779,24.402895508952295
1776901820.5603125,-1258.3617507098236,1981.0820149148772,-1.698471032354758,15172.420996839795,-23798.572296855804,28223.649697975234,20.081178065858595
1776901820.5630796,-1257.582455699451,1981.0262029432,-1.7008473377689652,12158.919344460399,-19068.229657025524,22614.966324939796,16.090580979284027
1776901820.5631042,-1254.9927259298618,1981.1972139966888,-1.7224503933614164,9396.309986907994,-14731.710893699717,17473.235167696275,12.431104249228586
1776901820.5675602,-1255.9717398192563,1981.359634529115,-1.721656175879683,6884.592924182583,-10789.016006878393,12798.456396315265,9.102747875692272
1776901820.5731664,0.0,0.0,0.0,4623.7681562841635,-7240.144996561547,8590.63045033964,6.105511858675084
1776901820.5817711,0.0,0.0,0.0,2613.8356832127342,-4085.0978627491822,4849.75891432493,3.4393961981770267
1776901820.5927436,0.0,0.0,0.0,854.7955049683026,-1323.8746054412934,1575.8551095346156,1.1044008941980934
1776901820.6052597,-1254.6960309129188,1981.051483652387,-1.7101481022091578,-653.3523784491404,1043.5247753621131,-1231.1836935322435,-0.8994740532617127
1776901820.6137152,-1256.516733935885,1981.067719443982,-1.7041646662252723,-1910.6079670395948,3017.1002796610437,-3571.178643143734,-2.572228644202392
1776901820.6377115,-1255.210531675004,1981.3818934642247,-1.7238497440171476,-2916.971260803038,4596.8519074554915,-5444.241801704628,-3.913862878623954
1776901820.6411424,-1255.5756872367142,1981.07123957874,-1.7080936517435752,-3626.056809438645,5717.64382479691,-6770.505069233358,-4.910591166416606
1776901820.6591706,-1257.2843007254144,1981.1022846276103,-1.7008287782411404,-3812.90822081971,6023.2548563083,-7128.665244240049,-5.222274031397213
1776901820.6597574,-1255.6742938243804,1981.1630670668933,-1.7216087746100777,-3051.4249580094447,4835.013482827717,-5717.3901085625375,-4.258488579530146
1776901820.6631746,-1253.2466304162317,1980.3858168391876,-1.7268800847995762,-930.8302877401878,1472.8429353856022,-1742.3292848625824,-1.2977378460282156
1776901820.67561,0.0,0.0,0.0,3003.9903720716043,-4744.139986126953,5615.231283167911,4.13598708050047
1776901820.6856306,0.0,0.0,0.0,-755.4621615861993,1155.0270744828267,-1380.148767480104,-0.8605515906232031
1776901820.7052648,-1253.8695739369557,1981.1413340596887,-1.713147457785851,-3645.8104652979355,5695.293098164611,-6762.270138265507,-4.7181078441404765
1776901820.70529,-1255.7744070134313,1981.0973200971289,-1.7064682715779564,-7045.866821838279,11050.634808469462,-13105.753276375926,-9.310989555176853
1776901820.712885,-1257.775128869523,1981.19443017802,-1.7009226126809618,-5565.696016700811,8707.789197903421,-10334.532638946126,-7.287715721223551
1776901820.723086,-1255.1966912229425,1981.1031144350827,-1.7230831050839586,-2769.2324044969473,4306.263771143702,-5119.819896908554,-3.546577763864031
1776901820.77062,-1256.312669203372,1981.0523331693191,-1.7043389386351964,987.1224167838282,-1612.080129225471,1890.2944238294617,1.5622689269151904
1776901820.7706466,-1258.2835872444812,1981.190829284644,-1.698521047344213,8588.699608028739,-13597.663595966897,16082.97908430016,11.855469331409338
1776901820.772788,-1259.82211117817,1981.1998361608785,-1.693300216326949,13969.892994277352,-22051.246396646708,26103.934146353953,19.01047851777927
1776901820.7728226,-1258.3949101593223,1981.071611255429,-1.6999089601339534,17799.241057007228,-28059.90929947126,33229.07600430691,24.17335875349998
1776901820.773811,-1260.0188024055287,1981.203470966964,-1.6929178957289357,20753.89730884663,-32705.469799142007,38734.635770699344,28.149416986048365
1776901820.7871368,0.0,0.0,0.0,16770.3546903414,-26393.341119235538,31270.645210423547,22.626143839042662
1776901820.7906315,0.0,0.0,0.0,8722.78570886433,-13674.734731319139,16219.906303512167,11.605272154451598
1776901820.8110528,0.0,0.0,0.0,3022.2131007351227,-4693.441631824081,5582.3083377393705,3.8753192198213986
1776901820.8117323,0.0,0.0,0.0,-2939.7260795733005,4695.291568756015,-5539.65272725238,-4.202237035862829
1776901820.821849,0.0,0.0,0.0,-8640.082764630268,13675.72707602747,-16176.419295927386,-11.94239771977714
1776901820.8670018,0.0,0.0,0.0,-13581.382301754356,21433.395910011983,-25374.089253837756,-18.506455005551672
1776901820.8720012,-1253.9615220373926,1981.0889429700987,-1.71359504801078,-17233.436565335294,27153.353309090893,-32160.471572720337,-23.341258674322972
1776901820.8720112,-1255.592252546468,1981.1971114966916,-1.7054340625679976,-19066.936056152226,30019.11201883617,-35562.55245295017,-25.751475549533716
1776901820.8720148,-1255.9871284541773,1981.3298262328965,-1.7218826887769374,-18581.613026180585,29218.418007862037,-34626.468106592685,-24.9454236493959
1776901820.8722968,-1255.933693114378,1981.196622947043,-1.7060800978314554,-15237.045703622714,23930.690587934983,-28369.799325863543,-20.348979333744968
