t,x,y,yaw,vx,vy,v,omega
1776901701.172506,-888.1268471364934,1980.9119712106035,-1.5537438663251062,-1790.3324931769969,-1249.2931888662165,2183.12251325318,-30.905839341169166
1776901701.1871126,-887.7981299876703,1981.2820235628135,-1.5561779472776835,-1404.649707457185,-1074.6614797889406,1768.5977769978429,-23.723083603153533
1776901701.1920831,-887.8875526489169,1981.2716908826808,-1.5557556064714473,-1051.5045933566848,-913.5943310722648,1392.9524441335338,-17.15304773700199
1776901701.215087,-887.9852488912122,1980.8503357015231,-1.5542481012228997,-730.8971508754964,-766.0917427161886,1058.8234996522533,-11.195731742714537
1776901701.2193422,-887.7624437320271,1981.2121540133685,-1.5563689690655067,-442.8273800136191,-632.1537147207124,771.8253737244728,-5.8511356202911795
1776901701.2218957,-888.1418877108172,1980.8419020464405,-1.5535012151693597,-187.29528077105365,-511.780247085836,544.9757274469636,-1.1192593697319067
1776901701.2543948,-926.7583406916256,1920.3698742291176,-2.0386879710165315,35.699146852200315,-404.9713398115594,406.5417754115123,2.9998970089632704
1776901701.256528,-926.7585836542432,1920.392640461128,-2.0385724761096884,226.1559028561428,-311.72699289788255,385.1236301472991,6.506333515794357
1776901701.2565534,-926.7938270510224,1920.392407339948,-2.038481780006042,384.07498724077345,-232.0472063448059,448.73099045689855,9.400050150761349
1776901701.2621496,-926.7984560414724,1920.4311143877987,-2.0389046316234354,509.456400006093,-165.9319801523291,-535.7977655276674,11.68104691386425
1776901701.2714374,-926.7691549238824,1920.3962105896328,-2.0387225955145856,602.3001411521161,-113.38131432046578,-612.8790928632623,13.349323805103086
1776901701.281135,-887.9661304961646,1981.3123882848672,-1.5554407404998718,759.631644089423,-17.7444551210765,759.8388647532737,16.11806159806179
1776901701.2913437,-888.0640030205099,1980.779988902368,-1.5541187592468102,856.6564342382549,55.74078401868803,-858.4679850319518,17.759244422017467
1776901701.301058,-859.9426473139407,1931.5246321795703,-0.6892808184193601,880.1572443411667,91.41830412873674,884.8921296384156,18.05441547128763
1776901701.314084,-859.9276648333912,1931.5174713905403,-0.6893430737060886,817.4646998663773,71.22327410706862,820.5615700860948,16.835506181543124
1776901701.3215957,-859.9316839842094,1931.4747061883456,-0.6897569463437279,656.465863928742,-30.258018760089954,657.1628247268675,14.016654077437165
1776901701.3619654,-859.8864537432157,1931.5157667530923,-0.6891584505884595,390.69841113425196,-236.52816831063888,456.7174431387692,9.537855914756339
1776901701.3634932,-859.8985621557038,1931.5093069847635,-0.6891384927033113,209.11780504250933,-269.00446176989726,340.7251925495223,5.889738925546129
1776901701.3648956,-859.8956221672287,1931.4751356055287,-0.6894437978041581,42.83422508445301,-260.19057461165926,263.69282499782014,2.3372394323479146
1776901701.3649244,-859.9504970107271,1931.5248691076476,-0.6896041333498121,-15.327627251470034,-316.56246479099013,316.93332149161415,1.4334985481179991
1776901701.3717322,-859.9167209254279,1931.5092888255224,-0.6893954215643959,-57.9210386751233,-203.43006566848248,211.5151019173057,-0.09554687365026115
1776901701.3819268,-859.8811558914643,1931.54487834044,-0.6890382517873522,-35.181011456818226,60.933505487396246,-70.36046942784935,-1.0569631051902086
1776901701.3913069,-859.893263360736,1931.526987649396,-0.6890748882515955,-90.00768575196423,155.0161749026812,-179.2523304615117,-2.7101814013477927
1776901701.4081988,-859.9552517543364,1931.4696869975676,-0.6899873315812525,-98.48180714415739,172.9791280849464,-199.04885101755121,-3.035458382552726
1776901701.413672,-859.9479771240224,1931.505245344753,-0.6896613846031276,-177.63083708334358,315.06672136184943,-361.6901342207645,-5.528699067764435
1776901701.421888,-859.9325790916774,1931.4972208325644,-0.6892894543240634,-251.7553494925982,448.35393604597834,-514.2003578042916,-7.860504594622032
1776901701.435403,-859.9698859739666,1931.490660856282,-0.6898896586291416,-313.81729318782163,560.1484023821769,-642.0650482583803,-9.802822080289078
1776901701.4418545,-859.9310671160729,1931.5002457612347,-0.6895320155314909,-358.12814031054575,641.3341972372568,-734.55109926284,-11.194022578970275
1776901701.4599574,-859.9416683988011,1931.475481201565,-0.6895711730028745,-381.9500405326995,682.3270514851778,-781.9565452449306,-11.912503556609577
1776901701.4615438,-887.7887966039826,1981.24029092242,-1.5560368913657767,-382.89759703664083,682.6700036343809,-782.7189174145464,-11.905363328490205
1776901701.4727545,-888.0017621951737,1980.850124254633,-1.5544542495128928,-425.4670879953252,375.58455790105097,-567.5262135804387,-18.114973838250883
1776901701.4815388,-887.6570668644694,1981.124263520307,-1.556877141021279,-389.7018556521092,265.438077293967,-471.5134241739204,-17.544126523635345
1776901701.4919417,-887.3407088256338,1981.010047003316,-1.5592584654628026,-293.46882957371037,673.7775317125256,-734.9150401046279,-7.154408513989638
1776901701.5014873,-887.8200343003558,1981.3030187354357,-1.5558364718182152,-91.55810037388568,714.7337374373311,-720.574216285325,4.25169748555098
1776901701.512775,-887.8409749009797,1981.3003649388315,-1.555840884930103,73.25355504162837,667.9858107851353,-671.9904216106889,12.459685071352657
1776901701.5221252,-887.9026525698858,1981.3055367218817,-1.5555301354596265,194.63797024734663,557.137566949476,-590.1577822653776,17.64039326096118
1776901701.532173,-887.8892985899902,1981.2698372945245,-1.5555667316155752,203.11636453206333,533.5352293045839,-570.890618638822,17.821740978622046
1776901701.5420434,-888.0385432533984,1980.806812648886,-1.5544409398211736,215.71617869553992,409.2163943330072,-462.59218231819847,16.915342473611442
1776901701.559204,-887.8585009082989,1981.2854211305869,-1.555862905540873,206.7047898481014,250.07426033629508,-324.4441490131897,14.396143654525542
1776901701.5646727,-887.7267949592402,1981.173713007933,-1.5569737873224407,151.04699191724794,122.43965969644853,-194.43935824269553,9.747129534425223
1776901701.5714345,-860.1335751787891,2093.3928850400634,1.3711127777037908,165.2811190754036,-161.92898235896052,-231.38462276181252,6.868594712534215
1776901701.5816665,-859.7772561670572,2092.992694346758,1.3680741781086088,244.4325909463555,-569.1686442990119,-619.4354180783688,5.862658563393302
1776901701.592217,-859.9620700553345,1931.4788839028297,-0.689770590547646,260.8982639668377,-855.0405498773638,893.958749649834,3.015489432042088
1776901701.6015544,-887.7875516771933,1981.2676239598577,-1.5562517729289378,225.6025339821967,-1020.9655309324413,1045.5941462591259,-0.9312809123203749
1776901701.6117845,-888.1404305517758,1980.780183163376,-1.5534452852248537,158.6912920745508,-1073.8031863194187,1085.4658949640134,-5.301984593801782
1776901701.6235497,-887.7398548685308,1981.3237349966437,-1.5563953548266152,70.16149077250441,-1019.4950156926399,1021.9064153872195,-9.34172839916592
1776901701.635968,-859.8939844113316,1931.5500348495093,-0.6890844942714406,-24.08779404949408,-861.2876117554055,861.6243798695003,-12.34641253474064
1776901701.6474104,-859.9053958184616,1931.5299281172329,-0.6893420614427761,-109.6249899395894,-603.2501661591149,613.1300036617478,-13.598750915758787
1776901701.667238,-859.8843661878868,1931.5391530574143,-0.6890474729823778,-170.05061513328815,-248.82588768274013,301.3827036979947,-12.393229475659485
1776901701.6704657,-859.920883545477,1931.512677747211,-0.689316955312345,-192.16291516955445,195.0549750321385,-273.81203269989714,-8.004811494566296
1776901701.672228,-859.8939977932896,1931.562010319036,-0.6887202227918874,-164.71801785726544,722.7098169368963,-741.2432157556578,0.308148110366466
1776901701.6812634,-887.4364421586492,1980.876665587911,-1.5589548441115626,-210.9884757408419,757.9356479089782,-786.7544618663732,-1.7061937181079072
1776901701.69151,-887.8162884068678,1981.2067474718488,-1.556540171616613,-273.24056678129205,483.6966111897202,-555.538314620496,-8.46339990672256
1776901701.702126,-887.5058236645295,1981.0095030985844,-1.558591951350573,-356.4842778524067,632.8148977392567,-726.3165529964864,-11.031119350539683
