t,x,y,z,yaw
1776901701.1725059,-888.1268471364934,1980.9119712106035,90.61602862062374,-1.5537438663251062
1776901701.1871126,-887.7981299876703,1981.2820235628137,91.04822722072477,-1.5561779472776835
1776901701.1920831,-887.8875526489169,1981.2716908826808,90.96557395187297,-1.5557556064714473
1776901701.215087,-887.9852488912122,1980.8503357015231,90.70360853178393,-1.5542481012228995
1776901701.2193422,-887.7624437320271,1981.2121540133685,91.00771491683723,-1.5563689690655067
1776901701.2218957,-888.1418877108172,1980.8419020464405,90.52922951147738,-1.5535012151693597
1776901701.2543948,-926.7583406916256,1920.3698742291176,154.26962835769703,-2.0386879710165315
1776901701.2565281,-926.7585836542432,1920.3926404611282,154.3081243924497,-2.0385724761096884
1776901701.2565534,-926.7938270510224,1920.392407339948,154.3294150589389,-2.038481780006042
1776901701.2621496,-926.7984560414723,1920.4311143877987,154.320077943015,-2.0389046316234354
1776901701.2714374,-926.7691549238825,1920.3962105896328,154.27075055032486,-2.0387225955145856
1776901701.2811353,-887.9661304961646,1981.3123882848672,91.00067822668335,-1.5554407404998718
1776901701.2913435,-888.0640030205099,1980.7799889023681,90.54199820964077,-1.5541187592468102
1776901701.301058,-859.9426473139407,1931.5246321795705,153.98655451932848,-0.6892808184193601
1776901701.314084,-859.9276648333912,1931.5174713905403,153.851737696173,-0.6893430737060886
1776901701.3215957,-859.9316839842094,1931.4747061883456,153.9217666411327,-0.6897569463437279
1776901701.3619654,-859.8864537432157,1931.5157667530925,153.86785124114104,-0.6891584505884595
1776901701.3634932,-859.8985621557038,1931.5093069847633,153.85381468151803,-0.6891384927033113
1776901701.3648956,-859.8956221672287,1931.4751356055287,154.03266507863196,-0.6894437978041581
1776901701.3649244,-859.9504970107271,1931.5248691076474,153.96931022406682,-0.6896041333498121
1776901701.3717322,-859.9167209254279,1931.5092888255222,153.83344338288856,-0.6893954215643959
1776901701.3819268,-859.8811558914643,1931.54487834044,153.91663354995794,-0.6890382517873522
