t,x,y,yaw,vx,vy,v,omega
1776901862.973667,-731.1491107967961,1953.6154126169995,-2.079322359133901,-1.1994304245292906,0.1899416199063269,1.2143768617110398,-0.004684542454697201
1776901862.9812582,-731.1501661048457,1953.6488383337664,-2.0797628693544628,-1.0036697279442715,0.08852431136565436,1.0075661151976536,-0.0038027067581628093
1776901863.0007749,-731.1577082396431,1953.6625161756144,-2.079428211135671,-0.8222036075224318,0.0011744174755299085,0.8222044462779972,-0.002999330894443601
1776901863.002289,-731.1536540313083,1953.649201322797,-2.079585125609348,-0.6550320632637723,-0.07210806176404644,0.6589890564151746,-0.002274414863539575
1776901863.0116289,-731.1608786427744,1953.6404409138777,-2.079592082669227,-0.5021550951682924,-0.1313231263530747,0.5190428721393083,-0.001627958665450732
1776901863.0271876,-731.1557144176979,1953.625195471261,-2.079492430235305,-0.3635727032359924,-0.17647077629155486,0.40413740908665086,-0.0010599623001770722
1776901863.0526402,-731.1650867198116,1953.6346748340995,-2.079450454939741,-0.2392848874668723,-0.20755101157948694,0.31675649918778626,-0.0005704257677185951
1776901863.0541024,-731.1746051775369,1953.6293118156927,-2.079641503411765,-0.1292916478609319,-0.22456383221687085,0.25912399531213265,-0.00015934906807530056
1776901863.0543418,-731.1990249710105,1953.6367846152848,-2.079671853753241,-0.03359298441817131,-0.22750923820370672,0.22997595976569044,0.00017326779875281078
1776901863.061597,-731.1702138738726,1953.62236175599,-2.079488580041108,0.047811102861409466,-0.2163872295399945,0.2216062604368806,0.00042742483276573894
1776901863.0724275,-731.2037040494732,1953.6352162420264,-2.079597120805901,0.11492061398519127,-0.19119780625146632,0.22307700158041077,0.0006031220339713927
1776901863.0813663,-731.1922204709048,1953.6235775823804,-2.0796685990559407,0.35090406134975183,0.012192696142506065,-0.3511158243528393,0.0003823889845651074
1776901863.0948062,-731.1710979173641,1953.604716300676,-2.0797163011668003,0.38988769950137225,0.19192191913259649,-0.43456465717544407,0.0011079649926110102
1776901863.1060135,-731.1701300197908,1953.6171406880333,-2.0796219863961998,0.37617825193819954,0.17449115185365827,-0.4146772712682671,0.00037256450723721635
1776901863.1231086,-731.165781181746,1953.633111137658,-2.0793292958077223,0.3819391596297521,0.23893811995958458,-0.4505207507191007,-0.000434168472350116
1776901863.128507,-731.1662846099423,1953.6413374141252,-2.0795864428007467,0.25077215393577035,0.11135836118762654,-0.2743854183370166,-9.196882850470711e-05
1776901863.134092,-731.1300171184523,1953.6329809264505,-2.0794578638130328,0.0928238943465658,0.11361587257863448,-0.14671346858235926,4.60714048811095e-05
1776901863.1565013,-731.1676943112733,1953.622861575762,-2.07962189927226,-0.15809087101598607,0.12933387050202327,-0.2042546781780708,-0.001036861412284762
1776901863.1628823,-731.1670593194498,1953.6562886733648,-2.079517804165781,-0.45217721249719034,0.06628319385515624,0.45700951115854194,-0.0008451470056891619
1776901863.1651688,-731.1556866955433,1953.6266020021765,-2.079674080691453,-0.4973875610511129,0.04788651352635043,0.4996874063512947,-0.0006796311394549059
1776901863.1766336,-731.1732447816872,1953.6404656467,-2.079542485971569,-0.5727401528805558,0.039517893273227855,0.5741018608316791,-0.0016649580915261142
1776901863.1828997,-731.209237545439,1953.6410195794356,-2.0797772098002523,-0.48125454045268157,0.07053848241139349,0.4863965565330661,-0.001545342350726675
1776901863.1962955,-731.1861890700247,1953.6178990291755,-2.0796819641261792,-0.32851797426479834,0.11744827172674377,0.3488812920559739,-0.0008028723885171729
1776901863.214715,-731.1782009993176,1953.6391425338077,-2.079628637336037,-0.2031165185771613,0.205991741755156,-0.28929036933542945,0.0009320531214447314
1776901863.220298,-731.2072300673228,1953.609171665493,-2.0794080200976404,-0.05530968340795539,0.3617111498209624,-0.36591545059411057,0.002937653435929888
1776901863.2219172,-731.1858538790519,1953.6567538515676,-2.0795949865416663,0.109344667651186,0.4639023177710442,-0.4766147467054447,0.0026319320358629827
1776901863.2319064,-731.2017284566361,1953.6488376230036,-2.079689849747608,0.11494544064677825,0.35471910139494867,-0.3728781238151709,0.0024938243391616766
1776901863.2548018,-731.1840814034861,1953.6377101561209,-2.079489121592492,0.011661148159333834,0.3666407510712588,-0.3668261478173151,0.0025997744063495087
1776901863.255593,-731.1564035433498,1953.667899993463,-2.0796339744919763,0.11679917349260904,0.22371656103166515,-0.2523710494656456,0.0026108625934987417
1776901863.2615163,-731.1737597834638,1953.65492310238,-2.079543200501219,0.06545602396951722,-0.030608172573920456,-0.07225891849600925,0.0012385703732865627
1776901863.2719514,-731.1850188828097,1953.672229026356,-2.079327749250496,-0.18076437513420274,-0.2073867684958941,0.2751091257389117,-0.00013578355930365937
1776901863.2822812,-731.1840479366153,1953.649554138208,-2.079414956139687,-0.24295989073650048,-0.43134283225253967,0.4950617612402869,-0.0010623864232905955
1776901863.298784,-731.1898877927623,1953.6448653524312,-2.079409665979282,-0.16148531932040555,-0.5628092356902243,0.5855183550788376,-0.001497851363517877
1776901863.3014991,-731.1940715327796,1953.6562015409668,-2.079522440972592,-0.07146964881792428,-0.6047849969194203,0.6089932702427677,-0.0019860950235374153
1776901863.3115118,-731.2000934614547,1953.63067341825,-2.079698796943011,-0.0928201427965405,-0.5192900180959441,0.5275203330705426,-0.0017122585918387667
1776901863.322853,-731.2154726022812,1953.6103907880013,-2.0795553542391665,0.1154194064600631,-0.2545710974385429,0.27951401224027633,-0.001893613483215928
1776901863.3387232,-731.1694391801038,1953.637072034698,-2.079420071087557,0.2142615914800956,-0.04844688156288157,-0.21967050306482036,-0.001827059141367049
1776901863.363698,-731.1761195570971,1953.593527974924,-2.0797230517072447,0.3927496447218459,0.10381147300279281,-0.4062377448688708,-0.0012083251486205704
1776901863.365739,-731.212434325416,1953.634731586786,-2.079745218550106,0.47403644223928154,0.44409075770442996,-0.6495591964165933,-0.0007922880920543385
1776901863.3657508,-731.1861055509172,1953.6305195770303,-2.0796184287978345,0.3635499809800251,0.5472541027081661,-0.6570050544718029,0.0007808598196875627
1776901863.371702,-731.1441047414501,1953.6433118086427,-2.079440095262017,0.30080284046181305,0.5608611470477172,-0.6364334804970398,0.0009051921922960116
1776901863.382094,-731.1715604051026,1953.6614290110888,-2.0796768060201485,0.0746745469462553,0.6631248669405068,-0.6673161747751161,9.684864429637674e-05
1776901863.3911798,-731.1631531297666,1953.652658795089,-2.0795423805032174,-0.07852394278930319,0.4986057359011511,-0.5047511163580584,0.0005278651469975415
1776901863.4650457,-731.1780027725063,1953.6814546356377,-2.079428983449178,-0.1721260857506195,0.31475168002907594,-0.35874226051157593,0.000963462847840324
1776901863.4650726,-731.1589532219624,1953.65553175566,-2.0795176558064736,-0.10956626401284097,0.002864588929810452,0.10960370467948774,0.0012846533986213826
1776901863.4650776,-731.1872019187733,1953.6635546183009,-2.079645662648056,-0.06673550482989299,-0.2288582701208952,0.23838988109319847,0.0015641052054264915
1776901863.4650817,-731.1838928814448,1953.6453001748064,-2.079581501115156,-0.01210748872412637,-0.28588344834531654,0.2861397164341471,0.0010531399958209064
1776901863.4650986,-731.1922445972839,1953.666224808533,-2.0795233485479327,0.002853704498988918,-0.460287305730958,0.46029615189183576,-0.00027205588472800635
1776901863.4666438,-731.1870450332297,1953.6279157891693,-2.0796016636051404,-0.03302987889176734,-0.4299764906555765,0.43124326709653094,-0.001061329403694633
1776901863.4666605,-731.1789322274627,1953.6411662346595,-2.0797833763261413,0.19169359994356228,-0.4211445754374381,0.4627193422364171,-0.0004999462451424908
1776901863.4744716,-731.1968927086693,1953.666098647133,-2.0794222568333973,0.38989771905309567,-0.20743317516598836,-0.4416432423147108,-0.0003238110242733683
1776901863.4856536,-731.1459791183373,1953.5923203286357,-2.0792582731627958,0.3029256408919707,-0.04792931868416872,-0.3066939247838793,-0.0014401375131208871
1776901863.5170038,-731.1505668678359,1953.6432753722825,-2.0794870203972384,0.19330255701902388,0.1417748070266498,-0.23972061750616439,-0.00167656982874953
1776901863.5170543,-731.1495777343667,1953.642558367559,-2.079659949936642,0.04718819032154897,0.34435625792764313,-0.3475743915764684,-0.0015497018845982424
1776901863.519544,-731.1869049788796,1953.6526761960968,-2.0797519991126725,-0.05988238652025757,0.23251208363183196,-0.2400994986462436,-0.0026335576515583714
1776901863.535242,-731.1835678391534,1953.6531982245776,-2.0796723892643048,-0.3168988715040939,0.1837730105079345,-0.3663296522965587,-0.002528389020070687
1776901863.5406852,-731.1531417952242,1953.6361414535927,-2.0796339218826727,-0.4291647685727753,0.142611491837215,0.45223935718616953,-0.0017027218797339705
1776901863.5439312,-731.1772869648694,1953.6456805620608,-2.079679144823132,-0.49411561816114613,0.03503626701365192,0.4953562194189384,-0.00022979035361314626
1776901863.5621915,-731.1650985372718,1953.6641242760547,-2.0795286669845887,-0.5156821334737742,-0.15104504140344943,0.5373478085157073,0.00012462117250833238
1776901863.5652964,-731.1893831897503,1953.668564878289,-2.0797504911155253,-0.38153467629879856,-0.14690731469181628,0.4088403946876939,0.0011568283798663037
1776901863.5711317,-731.2082491124355,1953.639306873224,-2.0797587306216267,-0.08165039853670919,-0.24731354881873813,0.2604434276585259,0.0030354910783559896
1776901863.584479,-731.1996704906466,1953.6527073782504,-2.079624378675995,0.3410387023869248,-0.44857441184592517,0.5634948087504225,0.003538616430107999
1776901863.5917532,-731.1831311268829,1953.6238711963424,-2.079518357740288,0.3992538354236217,-0.24199155685028018,0.46686565378842637,0.003524370847079683
1776901863.6018054,-731.1874248738922,1953.6091964138784,-2.079614420169862,0.4887703219493176,-0.19358086832392019,-0.5257090261727322,0.003231123885133136
1776901863.6125183,-731.1867558576431,1953.6423175590317,-2.0793317260059,0.41265643517826334,-0.048716017829747216,-0.4155220618537847,0.002364071057734618
1776901863.6236565,-731.1661065113434,1953.6432747647175,-2.0794638252994884,0.32906586803878213,0.028518951875298626,-0.33029937348439337,0.0024165558994464487
1776901863.636641,-731.1646656297684,1953.6204662862528,-2.079435854420154,0.180454318415201,0.13043575789924944,-0.22265948884663855,0.002018059290264218
1776901863.6680305,-731.1608409180324,1953.6476262693895,-2.0796363535290494,0.00287297554206134,0.2592949356990175,-0.2593108514266669,0.0006986759519392871
1776901863.6690156,-731.1326655595132,1953.6447780133983,-2.0794302934202644,-0.04108039299310917,0.30216237050672135,-0.3049421204732292,-0.0005705250044659715
1776901863.6690328,-731.1422634877757,1953.6303797476944,-2.0795086675967003,-0.19355548148672597,0.1813884324906212,-0.26526493898546594,-0.0024095610735007655
1776901863.6721027,-731.18384622298,1953.6528603774575,-2.0794385987843564,-0.20770803102496416,-0.055491998832508216,0.21499299543635036,-0.003323660275731277
1776901863.6817238,-731.2046693794276,1953.656072487562,-2.0793621283168258,-0.2903127625896218,-0.14468688293720788,0.3243698417185288,-0.0025513043584549644
1776901863.6922462,-731.172984964011,1953.639412037292,-2.079611801442174,-0.19308629309449543,-0.29561813785812774,0.35308979029657656,-0.0026606493777836526
1776901863.7035818,-731.2043044481828,1953.653226042742,-2.079655621887601,-0.014853654187817256,-0.3235437507637471,0.3238845314321216,-0.0026330027504005704
1776901863.711899,-731.2012170533454,1953.634613667095,-2.079492159063784,0.12980046885235197,-0.16079079593146162,0.20664423962589262,-0.0014226027268186003
1776901863.725357,-731.1753417061284,1953.6380916623089,-2.07968703587969,0.4235168222106722,-0.04005922745511725,-0.42540714662512075,-0.000986098783345657
1776901863.732288,-731.1404166228085,1953.6176323741345,-2.079753418565817,0.575125184184941,-0.03547129990840858,-0.5762180061408655,-1.4949306444855814e-05
1776901863.7749126,-731.1500249622744,1953.6136337231617,-2.0796337966788547,0.640171832845823,0.1077936156539181,-0.6491836713480438,0.0009200629875802946
1776901863.7764788,-731.1650464469662,1953.6198795927708,-2.079576213544396,0.5120742710849129,0.17729290881607085,-0.541897439211156,0.002466956090923067
1776901863.7764835,-731.157107030741,1953.636806721849,-2.0795465277226235,0.21622857271859175,0.2619253737357212,-0.33964642949178275,0.0028120769670257895
1776901863.7764854,-731.1787654986852,1953.6566719642012,-2.0794448561777226,-0.15291557156737667,0.28475490633718437,-0.3232159165494115,0.002276196450603729
1776901863.7822196,-731.1240337786473,1953.650590431606,-2.0796994537158726,-0.4634679014360188,0.3070920357920386,-0.5559748322616824,0.0016191688752550393
1776901863.7924771,-731.1428376612972,1953.6555430159103,-2.079451340408961,-0.47800782943005515,0.10852873900307713,0.49017341032131756,9.955481415735434e-05
1776901863.807284,-731.1711281447942,1953.660921087624,-2.0794057758246582,-0.7052222025545518,0.08488899518476956,0.7103129567165258,-0.0008034001060800433
1776901863.8155646,-731.15661373808,1953.6468829797811,-2.079439665212347,-0.6973045298501859,-0.0686625582400211,0.70067692573229,-0.0010060044051067862
1776901863.8222609,-731.1983124555842,1953.6272475508456,-2.079464348998972,-0.47572144875522326,-0.2905237394095366,0.5574181015775043,-0.0014040610706214096
1776901863.8358028,-731.2045263940151,1953.647957943564,-2.0795288816431547,-0.2292873456248401,-0.3735336805557381,0.43829225109874015,-0.0009505698041584187
1776901863.8433735,-731.2113913492327,1953.641478345004,-2.0796607464346337,-0.16686589183228762,-0.31577694747863916,0.3571544573653141,-0.0006912137920743744
1776901863.8706365,-731.1811194739156,1953.6338632690092,-2.079729212586437,-0.034792719188430965,-0.20043058969281446,0.20342800837921596,-0.00013873192970814685
