t,x,y,z,yaw
1776900156.7527428,266.5922880733976,2216.4475942706954,161.02597462281898,-1.6880770895947745
1776900156.7652295,266.6024233166144,2216.4279190885613,161.02368461770297,-1.6881289573590903
1776900156.7724783,266.4729472751761,2216.386798268534,161.30798917255757,-1.6875853096991587
1776900156.7813582,266.6308455873584,2216.4471596600774,161.03372047743358,-1.6880964820084303
1776900156.794326,266.62980052999416,2216.441959041174,161.01271093525622,-1.6882448532399135
1776900156.801964,266.4604144243668,2216.393530492556,161.29014523997427,-1.6876605067927124
1776900156.8244245,266.4694650420746,2216.4066800698834,161.3227279033374,-1.687587482374772
1776900156.8326683,266.4323472364208,2216.3977708227007,161.3013341000827,-1.687622560692594
1776900156.8335316,266.59145601261616,2216.4440567245856,161.03632109247815,-1.6881054117758623
1776900156.8415442,266.41237581615206,2216.37491521406,161.27385850280857,-1.6875468644209546
1776900156.8516366,266.4140671851794,2216.3890739608933,161.28889364481364,-1.6874352869483127
1776900156.8614492,266.58054044251594,2216.4252066341905,161.0280833096013,-1.688262373619453
1776900156.8725083,266.502883322506,2216.3297770108006,160.95864458455733,-1.6892462262736452
1776900156.8822205,266.5170607152446,2216.337483721538,160.96351410431194,-1.6893509855767648
1776900156.8918223,266.5417563101008,2216.32650503943,160.96643802841112,-1.689360860408361
1776900156.914105,266.4540126795984,2216.3913781327774,161.2934922534618,-1.6876656762610542
1776900156.9557805,266.46913905238017,2216.4005154423576,161.29412959157762,-1.6875474229470093
1776900156.95581,266.6228122054177,2216.4686077802044,161.02395876728767,-1.6880823576933344
1776900156.9575803,266.6296784615118,2216.4640219647026,161.01918577984185,-1.688194537602731
1776900156.9575894,266.62194608943014,2216.4796882976034,161.02898513450438,-1.6881479828521297
1776900156.9575942,266.5834804260864,2216.46261555714,161.00184477236502,-1.6882510569430624
1776900156.9619129,266.5768479967849,2216.450419257183,161.02891044161476,-1.6880768733390055
1776900156.971431,266.5037167836392,2216.3379552114584,160.96850824768936,-1.68911388284242
1776900156.9818537,266.57605119089726,2216.4345098492317,161.02322968970074,-1.6881775382509943
1776900156.9926302,266.5816685713449,2216.432898104851,161.01868147106515,-1.688230137871078
1776900157.0046494,266.5715834527825,2216.4351440391597,160.99927141898888,-1.6882712550278716
1776900157.0382183,266.5878804640906,2216.432248130398,161.0356362210111,-1.6881795756810076
1776900157.054024,266.61005175301756,2216.4255306327527,161.02978519346107,-1.6881543796163665
1776900157.054039,266.6302791610409,2216.43547105408,161.04431138241145,-1.6880785268738656
1776900157.0540411,266.76937155636773,2216.2819367647503,160.70627967395495,-1.6890522858814778
1776900157.054051,266.6425632168984,2216.457251070829,161.02831666585087,-1.6882179976985436
1776900157.0615656,266.6350305040664,2216.4587227247316,161.03920283200503,-1.687963213474819
1776900157.072916,266.4414132445062,2216.4159314433427,161.30570371147618,-1.6875301770870526
1776900157.0817232,266.52845800596185,2216.3345189095908,160.96888738863927,-1.6892626970772968
1776900157.0917652,266.59898029899233,2216.443787940582,161.0306253681004,-1.688087411937408
1776900157.101485,266.5696578085769,2216.4383328964527,161.02513326660952,-1.6880531952767563
1776900157.1119592,266.56762434555134,2216.43184886568,161.01619197713165,-1.6881734662341432
1776900157.1504102,266.57958880347485,2216.4306758788966,161.03345263125212,-1.6879556966188203
1776900157.1519537,266.5869684208229,2216.426617216753,161.01882899253374,-1.688076433805713
1776900157.1519608,266.71145737178233,2216.326494363893,160.74694301772269,-1.6869074118763632
1776900157.1519651,266.6080693646458,2216.431209743541,161.01283701959986,-1.6880592208319876
1776900157.161658,266.4485433265264,2216.3695920998807,161.29646621955933,-1.6876186362200623
1776900157.1734252,266.6082976780562,2216.44322940545,161.03690823264276,-1.6882215141719152
1776900157.1814215,266.6172749181088,2216.458839526063,161.0249038289264,-1.6882508737325002
1776900157.19223,266.606613720428,2216.463751750487,161.0238540172826,-1.6882617981546713
1776900157.201383,266.6103859305635,2216.458099469262,161.01578805099518,-1.6881401695622553
1776900157.2232237,266.5978632869741,2216.4737502885237,161.03354126496203,-1.68815877754851
