t,x,y,z,yaw
1776901862.973667,-731.1491107967961,1953.6154126169995,144.6479856864721,-2.079322359133901
1776901862.9812582,-731.1501661048457,1953.6488383337664,144.67981665500537,-2.0797628693544628
1776901863.0007749,-731.1577082396431,1953.6625161756142,144.69121651436717,-2.079428211135671
1776901863.002289,-731.1536540313083,1953.649201322797,144.64084886306867,-2.0795851256093476
1776901863.0116289,-731.1608786427744,1953.6404409138777,144.66650369688043,-2.079592082669227
1776901863.0271876,-731.1557144176979,1953.6251954712611,144.6254093065302,-2.079492430235305
1776901863.0526402,-731.1650867198116,1953.6346748340995,144.64454322135794,-2.0794504549397415
1776901863.0541024,-731.1746051775369,1953.6293118156932,144.63174849474726,-2.079641503411765
1776901863.0543418,-731.1990249710105,1953.6367846152846,144.63174014594793,-2.079671853753241
1776901863.0615973,-731.1702138738726,1953.62236175599,144.62069635663127,-2.0794885800411076
1776901863.0724277,-731.2037040494732,1953.6352162420264,144.66446018479874,-2.079597120805901
1776901863.0813665,-731.1922204709048,1953.6235775823804,144.65387275978765,-2.0796685990559407
1776901863.0948062,-731.1710979173641,1953.604716300676,144.64369804379038,-2.0797163011668003
1776901863.1060135,-731.1701300197908,1953.6171406880335,144.68585332363335,-2.0796219863961993
1776901863.1231086,-731.165781181746,1953.633111137658,144.70549554059497,-2.0793292958077223
1776901863.1285067,-731.1662846099423,1953.6413374141255,144.67398696595478,-2.0795864428007467
1776901863.134092,-731.1300171184523,1953.6329809264505,144.64015062428595,-2.0794578638130328
1776901863.1565013,-731.1676943112733,1953.622861575762,144.65809843688658,-2.0796218992722597
1776901863.1628823,-731.1670593194498,1953.6562886733652,144.68111922116884,-2.079517804165781
1776901863.1651688,-731.1556866955433,1953.6266020021765,144.63173322399987,-2.079674080691453
1776901863.1766336,-731.1732447816872,1953.6404656467,144.64606738434102,-2.079542485971569
1776901863.1828995,-731.209237545439,1953.6410195794354,144.650793146636,-2.0797772098002523
1776901863.1962957,-731.1861890700247,1953.6178990291753,144.6195727008174,-2.0796819641261792
1776901863.214715,-731.1782009993176,1953.6391425338074,144.64829211231378,-2.079628637336037
1776901863.220298,-731.2072300673228,1953.609171665493,144.6749931964147,-2.0794080200976404
1776901863.2219172,-731.1858538790519,1953.6567538515674,144.70542461503527,-2.0795949865416663
1776901863.2319064,-731.2017284566361,1953.6488376230034,144.6918583216497,-2.079689849747608
1776901863.2548018,-731.1840814034861,1953.6377101561209,144.66927935994042,-2.079489121592492
1776901863.255593,-731.1564035433498,1953.667899993463,144.67373466886283,-2.0796339744919763
1776901863.2615163,-731.1737597834638,1953.6549231023798,144.66458259403893,-2.079543200501219
1776901863.2719514,-731.1850188828097,1953.6722290263558,144.71723295366678,-2.0793277492504956
1776901863.2822812,-731.1840479366153,1953.6495541382078,144.7132315755957,-2.079414956139687
1776901863.298784,-731.1898877927623,1953.6448653524312,144.6868898668983,-2.079409665979282
1776901863.3014991,-731.1940715327796,1953.6562015409668,144.66965982856098,-2.0795224409725916
1776901863.3115118,-731.2000934614547,1953.63067341825,144.6598521053667,-2.079698796943011
1776901863.322853,-731.2154726022812,1953.6103907880015,144.6534108224373,-2.0795553542391665
1776901863.3387232,-731.1694391801038,1953.6370720346981,144.66251968862153,-2.0794200710875574
1776901863.363698,-731.1761195570971,1953.593527974924,144.60677469781646,-2.0797230517072447
1776901863.3657393,-731.212434325416,1953.634731586786,144.6845375206076,-2.079745218550106
1776901863.3657508,-731.1861055509172,1953.6305195770306,144.6894554551877,-2.0796184287978345
1776901863.371702,-731.1441047414501,1953.6433118086427,144.66987021343172,-2.079440095262017
1776901863.382094,-731.1715604051026,1953.6614290110892,144.67306315542027,-2.0796768060201485
1776901863.3911798,-731.1631531297666,1953.652658795089,144.6654585149083,-2.0795423805032174
1776901863.4650457,-731.1780027725063,1953.6814546356377,144.739862473472,-2.079428983449178
1776901863.4650726,-731.1589532219624,1953.65553175566,144.67917672840983,-2.0795176558064736
1776901863.4650776,-731.1872019187733,1953.6635546183006,144.66225307704238,-2.079645662648056
1776901863.4650817,-731.1838928814448,1953.6453001748064,144.65421880112532,-2.079581501115156
1776901863.4650986,-731.1922445972839,1953.666224808533,144.6562396665008,-2.0795233485479327
1776901863.4666438,-731.1870450332297,1953.6279157891693,144.66418811477226,-2.0796016636051404
1776901863.4666605,-731.1789322274627,1953.6411662346595,144.68315619714411,-2.0797833763261413
1776901863.4744716,-731.1968927086693,1953.6660986471327,144.70280957340816,-2.0794222568333973
1776901863.4856536,-731.1459791183373,1953.5923203286354,144.6333170680275,-2.0792582731627953
1776901863.5170038,-731.1505668678359,1953.6432753722825,144.68657700116785,-2.0794870203972384
1776901863.5170543,-731.1495777343667,1953.642558367559,144.65875183730446,-2.079659949936642
1776901863.519544,-731.1869049788796,1953.6526761960972,144.68182334809498,-2.0797519991126725
1776901863.535242,-731.1835678391534,1953.6531982245779,144.6599096700653,-2.0796723892643048
1776901863.5406852,-731.1531417952242,1953.6361414535927,144.68027680528732,-2.0796339218826727
1776901863.5439312,-731.1772869648694,1953.6456805620608,144.66138466168346,-2.079679144823132
1776901863.5621915,-731.1650985372718,1953.6641242760547,144.67037193024558,-2.0795286669845887
1776901863.5652964,-731.1893831897503,1953.668564878289,144.64257029454373,-2.0797504911155253
1776901863.5711317,-731.2082491124355,1953.6393068732239,144.67899179222727,-2.0797587306216267
1776901863.584479,-731.1996704906466,1953.6527073782506,144.6891710966036,-2.079624378675995
1776901863.5917532,-731.1831311268829,1953.6238711963424,144.66694620074654,-2.0795183577402874
1776901863.6018054,-731.1874248738922,1953.6091964138786,144.67294705400107,-2.079614420169862
1776901863.6125183,-731.1867558576431,1953.6423175590314,144.695246751377,-2.0793317260059
1776901863.6236563,-731.1661065113434,1953.6432747647177,144.67704383778366,-2.0794638252994884
1776901863.636641,-731.1646656297684,1953.6204662862526,144.6849880247647,-2.079435854420154
1776901863.6680305,-731.1608409180324,1953.6476262693898,144.6817660168998,-2.0796363535290494
1776901863.6690156,-731.1326655595132,1953.6447780133985,144.65656481021338,-2.0794302934202644
1776901863.6690328,-731.1422634877757,1953.6303797476944,144.62802315745333,-2.0795086675967003
1776901863.6721027,-731.18384622298,1953.6528603774577,144.67009836483504,-2.0794385987843564
1776901863.6817238,-731.2046693794276,1953.656072487562,144.7141918310771,-2.0793621283168258
1776901863.6922462,-731.172984964011,1953.6394120372918,144.6698911539333,-2.079611801442174
1776901863.7035818,-731.2043044481828,1953.653226042742,144.66173188191195,-2.079655621887601
1776901863.711899,-731.2012170533454,1953.634613667095,144.67488341935177,-2.0794921590637836
1776901863.725357,-731.1753417061284,1953.6380916623086,144.67612864424578,-2.07968703587969
1776901863.7322881,-731.1404166228085,1953.6176323741342,144.6236757589004,-2.079753418565817
1776901863.7749126,-731.1500249622744,1953.6136337231617,144.64432027913054,-2.0796337966788547
1776901863.7764788,-731.1650464469662,1953.6198795927708,144.64170530910238,-2.0795762135443954
1776901863.7764835,-731.157107030741,1953.6368067218493,144.67649471486885,-2.0795465277226235
1776901863.7764854,-731.1787654986852,1953.6566719642015,144.69302433372863,-2.0794448561777226
1776901863.7822196,-731.1240337786473,1953.6505904316061,144.64619557089569,-2.0796994537158726
1776901863.7924771,-731.1428376612972,1953.6555430159106,144.66407765993446,-2.079451340408961
1776901863.807284,-731.1711281447942,1953.6609210876238,144.68826485247166,-2.0794057758246582
1776901863.8155646,-731.15661373808,1953.6468829797814,144.667655837746,-2.079439665212347
1776901863.8222609,-731.1983124555842,1953.6272475508456,144.65314644971892,-2.0794643489989717
1776901863.8358028,-731.2045263940151,1953.647957943564,144.69216215398146,-2.0795288816431547
1776901863.8433735,-731.2113913492327,1953.641478345004,144.67732002910077,-2.0796607464346337
1776901863.8706365,-731.1811194739156,1953.6338632690095,144.66604090938938,-2.079729212586437
1776901863.873223,-731.1825084539762,1953.6167558757309,144.65190729395152,-2.0797436983767827
1776901863.8741288,-731.1816573373214,1953.6431598127788,144.7062795934235,-2.0795058251687393
1776901863.8818445,-731.1579759275019,1953.6153569394783,144.68811067905756,-2.0795478557433564
1776901863.8922217,-731.1975294305454,1953.6589315694368,144.70378948109004,-2.079489186051979
1776901863.9018939,-731.1603078663717,1953.6283958222798,144.69176396675886,-2.079402474374734
1776901863.9155781,-731.1576251878664,1953.6361711731124,144.67039289682378,-2.079439122873354
1776901863.9212694,-731.1765727512877,1953.678999754056,144.70661637057518,-2.0795758140917893
1776901863.9330158,-731.1867764935321,1953.6546374736765,144.68485591239153,-2.0797034024954746
1776901863.942808,-731.1714502100325,1953.6451216253954,144.66672751377888,-2.079548598422814
1776901863.9700923,-731.1894253274313,1953.6502127431384,144.688406530166,-2.079671325377519
1776901863.9728086,-731.2268304470738,1953.639752124206,144.70960258398563,-2.079346503913915
1776901863.9728158,-731.1703834500744,1953.6382642731,144.67861420035078,-2.079580902174897
1776901863.9817498,-731.2026987386373,1953.637438870806,144.6778938698394,-2.0795735768700436
1776901863.994579,-731.179537904866,1953.6277748771754,144.67558052928558,-2.079553257203409
1776901864.0021565,-731.1554786923843,1953.60876204239,144.68195880113308,-2.079679042214592
1776901864.0124414,-731.1877895716509,1953.6485006736236,144.71364112896603,-2.079612437156922
1776901864.0325806,-731.1799919690762,1953.6310256439845,144.7119557411152,-2.079656189875268
1776901864.0341754,-731.1711912267268,1953.6400464970202,144.70167832292063,-2.079611624788759
1776901864.042346,-731.1539180783348,1953.6448284105525,144.66226667385789,-2.079494139778404
1776901864.0514505,-731.1489643166323,1953.6441354904473,144.6796031869798,-2.079576550747544
1776901864.0788543,-731.2037543940172,1953.6771512432997,144.735258158287,-2.07958378489231
1776901864.0830495,-731.1606311371135,1953.626879158834,144.65589079701942,-2.0794471172023714
1776901864.083059,-731.1768978950416,1953.6329169358019,144.66364847665798,-2.079651542724651
1776901864.093837,-731.187043178765,1953.632272533698,144.6711482582408,-2.079651730514206
1776901864.101918,-731.2010808924289,1953.6350926917482,144.68284972994834,-2.0795949961506914
1776901864.1323292,-731.2054404547351,1953.651421864935,144.6923872086928,-2.079839211128451
1776901864.132349,-731.187272383309,1953.632117007012,144.70891599504682,-2.079586675221844
1776901864.1342475,-731.1589081703636,1953.6506145265494,144.66963889724835,-2.0792463153438905
1776901864.1437984,-731.1853358262047,1953.6367086168525,144.711545360657,-2.079528205848828
1776901864.1522365,-731.1584591935123,1953.6428754035553,144.6734138973878,-2.079557398393871
1776901864.1878672,-731.1576041795864,1953.6357990562922,144.67909296374194,-2.0795023624933298
1776901864.1919334,-731.174642338185,1953.6313045035788,144.68475059415357,-2.0794021234703695
1776901864.1919484,-731.1644227184426,1953.6285100542104,144.68782657301523,-2.079483120645858
1776901864.1934197,-731.1694365679009,1953.6241193340707,144.66210435657942,-2.079615170429964
1776901864.2022722,-731.180993016282,1953.6599509574064,144.7009689204125,-2.0795998412654693
1776901864.2341537,-731.193074216946,1953.6386730985066,144.6561996759449,-2.079632936788014
1776901864.2341707,-731.1886145647247,1953.6414080212676,144.66745702596657,-2.0796682522911665
1776901864.2374785,-731.1932956138346,1953.6486461474115,144.67920759700257,-2.0797225939994406
1776901864.2429717,-731.2114134366493,1953.622439290032,144.69357931083064,-2.0795629834286107
1776901864.2521825,-731.1842745779271,1953.6484717994108,144.66872299289813,-2.079634147187727
1776901864.2797997,-731.1953208822729,1953.6385300053832,144.73499490744547,-2.079623929132194
1776901864.2812421,-731.1735760988589,1953.6378162652718,144.72401462740464,-2.0792865355906507
1776901864.2824557,-731.1760809167686,1953.6442470276859,144.6884796926551,-2.079591515020568
1776901864.2920442,-731.1745388611125,1953.6487584317044,144.70706576258323,-2.079601467715166
1776901864.3021522,-731.1540739508476,1953.623721252654,144.67690724655273,-2.0793240727770836
1776901864.322745,-731.1591354307313,1953.6612142726708,144.706800704862,-2.0794935096235414
1776901864.3237836,-731.1956399394428,1953.6280970666182,144.688247715133,-2.0795282354149385
1776901864.3326013,-731.1739947352735,1953.6573859469206,144.66393555677354,-2.0794664135979213
1776901864.345762,-731.1807765415607,1953.637028695568,144.66927686199466,-2.0795300088438555
1776901864.3531795,-731.2101852768395,1953.6539150258682,144.65951937015413,-2.079681924492195
1776901864.3855612,-731.2039892512987,1953.6233851116758,144.67295117153282,-2.079628691942915
1776901864.3857052,-731.1906892034824,1953.6208327914228,144.68078908815568,-2.0795979542251826
1776901864.386599,-731.2339235591168,1953.6521884820306,144.7328263918326,-2.079630499887115
1776901864.3938262,-731.1772731927105,1953.6101229660994,144.67834031986237,-2.0796000247498183
1776901864.4027166,-731.2004021979295,1953.6497860559687,144.73226406650454,-2.07950535081474
1776901864.4141862,-731.1772649925309,1953.630213643761,144.70685944814346,-2.079463983672754
1776901864.43368,-731.1867363536263,1953.6496160229137,144.71063775471146,-2.0793683198017154
1776901864.4361255,-731.1768808067828,1953.6555324043004,144.68580805247564,-2.0797389697852084
1776901864.4432814,-731.1866853623172,1953.6305365132941,144.6915946054223,-2.079422502954844
1776901864.4585967,-731.1757112119382,1953.6673228144969,144.6775733541179,-2.079532326919617
1776901864.4831061,-731.1964177742442,1953.6682078048402,144.70965979120345,-2.0797902160344375
1776901864.4831967,-731.1868755396052,1953.6245578966364,144.67429793787818,-2.079370740745837
1776901864.485063,-731.2397728441711,1953.6506667180536,144.69235959201262,-2.0796548010766047
1776901864.493768,-731.2005266440374,1953.6219616713852,144.67458564473804,-2.0794889854069147
1776901864.5032074,-731.2271717751096,1953.6647395261382,144.7172298139222,-2.0794658379650084
1776901864.5207224,-731.1825420646134,1953.6367072118007,144.68781554003655,-2.0793856920487728
1776901864.5226903,-731.1876671115983,1953.6360172058778,144.72656739116476,-2.0795055122434447
1776901864.5383875,-731.1529024734906,1953.617099377469,144.67794047527624,-2.079450518146558
1776901864.549284,-731.1944881125653,1953.645273792413,144.74383576357434,-2.079628111139302
1776901864.55297,-731.1679653751346,1953.66344776793,144.69890457083258,-2.079406610339203
1776901864.5886831,-731.1621691997611,1953.6423027087894,144.68563414645155,-2.0795199700880342
1776901864.5887132,-731.1825565820213,1953.6724734668285,144.70020365813323,-2.0793362380929277
1776901864.5893128,-731.1920852727717,1953.6473325432707,144.69725467882364,-2.079593880070211
1776901864.5935428,-731.192924097877,1953.6514732235687,144.69015224911854,-2.079629336524241
1776901864.604391,-731.1941112875256,1953.623327962465,144.64220520291656,-2.0794463023148757
1776901864.6128616,-731.2091127272816,1953.651548692141,144.71485716280046,-2.079688383546533
1776901864.6398623,-731.2272123778539,1953.6470298395923,144.72695986271418,-2.079605046304678
1776901864.6398845,-731.2150779775269,1953.634592958559,144.7384070013054,-2.079322404249178
1776901864.6430266,-731.2195133853717,1953.6647252085036,144.7349465542495,-2.079520240176206
1776901864.6554167,-731.1817628153311,1953.6360627076813,144.6770636892737,-2.0796483578279843
1776901864.6633322,-731.1938169029844,1953.6606875089908,144.75676275426125,-2.079596037522687
1776901864.693981,-731.1693001187376,1953.6305041007342,144.70689923234494,-2.0796979497935464
1776901864.694523,-731.1464669336111,1953.6430086302269,144.6537616624174,-2.079707813650503
1776901864.6945302,-731.1860642258349,1953.66399114445,144.72651807536613,-2.079436830053069
1776901864.7030478,-731.150738517699,1953.6638392428495,144.69694398689876,-2.079563091080224
1776901864.713656,-731.1891110365763,1953.6559260789904,144.6915969934672,-2.0795005078045454
1776901864.7296576,-731.1740997389309,1953.6272382469176,144.67177216143554,-2.0795108034835246
1776901864.7341545,-731.1993751441436,1953.6380472796516,144.67930742271847,-2.0797465876454506
1776901864.742672,-731.1754584089108,1953.6347575911284,144.68357057385657,-2.079538826228538
1776901864.7556484,-731.2157132978989,1953.648590376964,144.70963795798045,-2.07960806338236
1776901864.7635074,-731.1872570381549,1953.6184880190654,144.66846758954347,-2.07984180002122
1776901864.79568,-731.1785103804832,1953.6196300084464,144.64914414977233,-2.0795902291501056
1776901864.7985961,-731.1849643208764,1953.641682704017,144.71351852517586,-2.0795461768266414
1776901864.7986038,-731.1739787004506,1953.618175050569,144.6849541703573,-2.079429049637084
1776901864.8041556,-731.1895079135755,1953.6511695104932,144.7316908144325,-2.0794787534361756
1776901864.8123112,-731.1771430540258,1953.639949713189,144.70003320054417,-2.079658660345904
1776901864.8279335,-731.1750790521478,1953.6591930429388,144.6942251941733,-2.079673383601832
1776901864.8360786,-731.1581965470118,1953.6532522284601,144.71738482448805,-2.079387555459592
1776901864.846792,-731.1677184174903,1953.6492657909653,144.67987940249247,-2.0796449087915425
1776901864.8536777,-731.1954326975272,1953.6617042041848,144.70380944940624,-2.0797215629469057
1776901864.8683343,-731.1912910946465,1953.65960287514,144.68324400927085,-2.079628689481255
1776901864.875031,-731.1544370031075,1953.6408290306547,144.6486329994918,-2.07965483663909
1776901864.8935645,-731.2069100763401,1953.6388255915394,144.70485236207642,-2.0794314190461023
1776901864.895641,-731.2241494465941,1953.647063012544,144.69993293778387,-2.079744465729266
1776901864.9023595,-731.2089095301084,1953.6422825355255,144.71708451965202,-2.0796722565432506
1776901864.9122164,-731.1754494104206,1953.6155650915039,144.69416375700095,-2.0794143626778756
1776901864.9224064,-731.1933135186741,1953.6580201260613,144.7332745641147,-2.0795745507352468
1776901864.9365826,-731.1863676171649,1953.653433637926,144.66547010175663,-2.079557976390217
1776901864.9445496,-731.1729447145223,1953.6591069690558,144.70695413198695,-2.0799051351396964
1776901864.9567835,-731.1793137059996,1953.6574001014203,144.716198513417,-2.0794910564553133
1776901864.9628396,-731.1623889794467,1953.6498967689997,144.69775613040645,-2.079389029630717
