t,throttle,steering
1776900287.113064,1.68,0.0
1776900289.215399,0.0,0.0
1776900290.5996628,-1.68,0.0
1776900293.3980434,-1.68,0.0
1776900294.0274403,-1.68,0.0
1776900294.5993903,-1.68,0.0
1776900295.1311896,-1.68,0.0
1776900298.241574,-1.68,0.0
1776900299.1837404,-1.68,0.0
1776900299.4079804,-1.68,0.0
1776900299.5938213,-1.68,0.0
1776900299.7540417,-1.68,0.0
1776900299.9180934,-1.68,0.0
1776900300.109069,-1.68,0.0
1776900300.2877173,-1.68,0.0
1776900300.4662778,-1.68,0.0
1776900300.6452239,-1.68,0.0
1776900300.831985,-1.68,0.0
1776900300.9903347,-1.68,0.0
1776900301.1926985,-1.68,0.0
1776900301.377611,-1.68,0.0
1776900301.5606618,-1.68,0.0
1776900301.7350934,-1.68,0.0
1776900301.9140935,-1.68,0.0
1776900302.1070411,-1.68,0.0
1776900302.289785,-1.68,0.0
1776900302.4778285,-1.68,0.0
1776900302.66199,-1.68,0.0
1776900303.6738255,0.0,0.0
1776900304.754668,-1.68,0.0
1776900308.2241302,0.0,0.0
1776900313.6231575,1.68,0.0
1776900315.2939427,0.0,0.0
1776900317.152089,-1.68,0.0
1776900319.3670712,0.0,0.0
