t,x,y,yaw,vx,vy,v,omega
1776901737.1767137,-864.407072942934,2372.2149688107243,1.9450241369420136,-351.5226520874288,241.23837043382358,426.3380422858676,57.012468630651725
1776901737.179361,-867.0845867875554,2372.236825531072,1.9450309819267195,-286.35863700012044,86.7520121588391,299.21092994436907,52.33644859377293
1776901737.2099736,-867.1734122688608,2372.252291722507,1.9448269789261652,-226.51131741851077,-43.03188451940229,230.56261623246843,47.85243846911627
1776901737.209988,-867.413660937705,2372.270865041168,1.9434651892055588,-171.9806933425999,-148.1133196009006,-226.96897216535987,43.56043825668174
1776901737.2136323,-867.1111483474923,2372.217599975179,1.9448356528602453,-122.76676477238773,-228.49229308565594,-259.3846690385152,39.46044795646935
1776901737.2192955,-875.8155400464946,2394.6331906016385,4.630829826122882,-78.86953170787432,-284.16880497366816,294.9106860593255,35.5524675684791
1776901737.2300875,-875.7887425293724,2395.233752268768,4.642702892415251,-40.288994149059654,-315.1428552649373,317.70776237618145,31.83649709271099
1776901737.242138,-875.845002186379,2395.094935035824,4.64231340473947,-7.02515209594367,-321.41444395946337,321.49120912980214,28.312536529165012
1776901737.2499006,-874.944457254125,2396.426813473278,4.647972313524005,20.921994451473505,-302.9835710572464,303.70507763688937,24.980585877841172
1776901737.2604268,-870.9743788004356,2323.437947398863,4.768577360687127,43.55244549319197,-259.85023655828644,263.4747823755338,21.84064513873946
1776901737.310177,-871.6288436720033,2324.0122923369354,4.764719088323349,60.866201029214864,-192.0144404625985,201.43048372551155,18.892714311859855
1776901737.3102002,-871.7995703788853,2324.0426996277674,4.763998784090713,97.75459633171951,31.38529954136004,-102.669363158044,15.43236852738408
1776901737.3107677,-871.9433180653823,2324.0671555185395,4.762526576146913,114.67611586726628,258.9762820395448,-283.23016472372524,10.735709700259957
1776901737.3107798,-871.8269098899715,2324.1054202719365,4.763701885158926,97.63648828705371,644.51079059663,-651.8642826850702,6.214982213613534
1776901737.3107843,-868.2610118631658,2395.6916186387944,5.596669210100268,64.97997907742919,869.8428176070005,-872.2665447117575,4.403032492158274
1776901737.3202124,-868.3154401358536,2395.671707929532,5.595424004533179,12.818875834722064,967.2718971078634,-967.3568351504584,7.3033209951758495
1776901737.3293288,-868.2917974772611,2395.6503908240866,5.5962290307565175,-15.960968551712483,849.3055218626866,-849.4554855809452,3.175149995056457
1776901737.3407068,-867.3933064511815,2395.386248810676,5.598055242410361,-38.300599229665096,576.4164545066133,-577.6875149484589,-1.1369078490263727
1776901737.3499982,-868.2980394210639,2395.6727895715185,5.596467015271233,-51.28580226079973,155.4164632997922,-163.65974024832593,-5.177465802411775
1776901737.36061,-868.3339590546229,2395.587669114886,5.595775082713395,-55.2787636306428,-420.97729407160114,424.5911254752975,-8.531896148574486
1776901737.3701663,-868.2799403598167,2395.5724147707656,5.596054374783335,-60.38313181448544,-775.393983831193,777.7415719693362,-11.282839427376743
1776901737.3803816,-876.1402662193467,2392.0403213129985,4.623658762476156,-63.36422509122269,-1046.1940413015327,1048.1111568322533,-12.92669838290928
