t,x,y,z,yaw
1776900107.7083,228.2145539681475,1998.2550260139706,162.25041199829045,-1.609930351633487
1776900107.7103353,228.13635113563043,1998.1705269728116,162.19505362893577,-1.6111084643135367
1776900107.720601,228.19389729368643,1998.16305061614,162.23218043930544,-1.6098501006424764
1776900107.7311814,228.15769103910216,1998.1822673263473,162.20504528783403,-1.611152388222127
1776900107.7404091,228.11860599915425,1998.094838191735,162.1817760251259,-1.6110610528902058
1776900107.7535903,228.13942775615516,1998.0976765160897,162.1669887058592,-1.6110546962993606
1776900107.790853,228.213684001766,1998.1793482301832,162.23041090184464,-1.6099404500573304
1776900107.7919033,228.19816489349768,1998.184044783659,162.24286083284386,-1.6098285462130286
1776900107.7919173,228.1105111179785,1998.1128390303431,162.17308001288353,-1.6109335613587898
1776900107.7919252,228.21771518330297,1998.2757180457447,162.25720059089798,-1.6098662777866615
1776900107.800527,228.23315262229045,1998.2675110018342,162.25593533667583,-1.6098359043681776
1776900107.8106892,228.2078648808251,1998.2627335764516,162.25107043905393,-1.6099004441228828
1776900107.821441,228.20834877850487,1998.2530695371947,162.23584628904544,-1.6099052101131384
1776900107.8312826,228.1439595018973,1998.1651929130066,162.18345768126102,-1.6110779997484075
1776900107.8414314,228.22140538506707,1998.259506217672,162.24707710191322,-1.6098722422729406
1776900107.853199,228.2332317335778,1998.2622531773159,162.24700110036665,-1.6100490187855818
1776900107.895199,228.01137778425613,1998.2607732692948,162.41968427972216,-1.607735882334475
1776900107.8952312,228.23312323080762,1998.2801446452343,162.25515098947218,-1.6100788702505293
1776900107.8965366,228.2525393963832,1998.2886688891294,162.24027560026437,-1.6099701394989288
1776900107.896552,228.25475080010568,1998.2849470292535,162.26563438096687,-1.6100771603266557
1776900107.9004087,228.20359643539788,1998.2004791575912,162.2417821107222,-1.6099005024506525
1776900107.9111912,228.1885957545094,1998.1814258964644,162.22683169114694,-1.609907945852903
1776900107.9288068,228.11735787132815,1998.1086007058448,162.1880846323018,-1.6110070969213173
1776900107.9302955,228.1794413953527,1998.1768107455214,162.23429123315793,-1.609820595879672
1776900107.9535465,228.21314752991867,1998.2732731439269,162.26545422528503,-1.609925683588177
1776900107.9545002,228.16842720747178,1998.1531748406019,162.22705616846736,-1.6097507689178556
1776900107.9646182,228.21849853298423,1998.2518607730217,162.2586118265282,-1.609734984526139
1776900107.9947727,228.129601702381,1998.170705103357,162.18264267967447,-1.611015723075478
1776900107.9947922,228.23750455953936,1998.2717980021187,162.26576123632344,-1.6099110111064854
1776900107.996613,228.2290935040139,1998.2675313344496,162.27499908138225,-1.6098679340921642
1776900108.003207,228.16276295336473,1998.1951853907794,162.18756398768406,-1.6110552187902913
1776900108.0115018,228.21733119135618,1998.1798497305626,162.22886715053738,-1.609996336619603
1776900108.0219214,228.25685405412477,1998.286739447242,162.26429453282054,-1.6099137263279224
1776900108.0314057,228.02752914012208,1998.2900955558625,162.42709337878838,-1.6077701523732464
1776900108.0412328,228.12684878971956,1998.1100434691118,162.17327388315383,-1.6110313988239977
1776900108.0505302,228.24164234175564,1998.2951707003615,162.26688110033598,-1.6097755118311183
1776900108.066857,228.21272207951452,1998.2712851513927,162.2469912754634,-1.6098954861117716
1776900108.0883758,228.20201604121274,1998.2734794096805,162.26345327988813,-1.6097754992288913
1776900108.0906515,228.20915288073337,1998.2529155238199,162.23928653475272,-1.6099743557786164
1776900108.0923722,228.2197515310796,1998.257597471215,162.24783666757943,-1.6098670019436199
1776900108.103168,228.21819435984827,1998.25622183979,162.24615800714392,-1.609892092007061
1776900108.1104832,228.21627144702137,1998.2574013989545,162.24890955107614,-1.6099682040325884
1776900108.1213534,228.2056101060572,1998.1760090494004,162.24468638426617,-1.6098695708607607
1776900108.1310751,228.20992213693702,1998.1674659191576,162.239234139247,-1.609894333166468
1776900108.1450162,228.16278521725653,1998.1926795248507,162.19636318053188,-1.611169637947615
1776900108.151047,228.21055345355174,1998.180679233533,162.26232262247905,-1.6098709277224166
1776900108.1641746,228.22362402958052,1998.191607497071,162.23184876480073,-1.6098498089615576
1776900108.1768765,228.2315974805245,1998.289875593917,162.2519662698102,-1.6099418885488894
1776900108.1931217,228.09557412105138,1998.1100766442562,162.18014338424788,-1.6109876751673808
1776900108.193746,228.21249372810652,1998.274760267455,162.2446647629862,-1.6099875836089315
1776900108.201095,228.21582395493277,1998.2639339512987,162.26568212881898,-1.6097645383798243
1776900108.2105064,228.199643191135,1998.2571401718646,162.24780587518023,-1.6099247063191788
1776900108.2209215,228.20238643187022,1998.2535906097971,162.26228897289104,-1.609863471635293
1776900108.2324543,228.13895141806765,1998.1739770972436,162.18772332287153,-1.6111892880165077
1776900108.2443027,228.24036936365746,1998.2699343688548,162.25757264815334,-1.6099006401439933
1776900108.2506583,228.1249065500753,1998.0854515811181,162.18381256709975,-1.6110239769236243
1776900108.267069,228.19947010864433,1998.1852550752683,162.23975866379527,-1.6098524373338692
1776900108.2856038,228.13937831971262,1998.1106535306571,162.1841983762243,-1.6110086919973656
1776900108.2946641,228.20266597044503,1998.183267083682,162.23545104249297,-1.6098608690638387
1776900108.295618,228.14695328192622,1998.1952452748733,162.1905894763597,-1.6111823963291765
1776900108.3019063,228.22825615122903,1998.288166553953,162.2594898736562,-1.6099771602910047
1776900108.3118935,228.1502620365183,1998.20152316578,162.18994027639144,-1.6110607820449387
1776900108.3216658,228.12944356924058,1998.183973551371,162.18299993071446,-1.6110620110985843
1776900108.3327787,228.21482836515622,1998.2718225513265,162.24692939653696,-1.609848379249485
1776900108.3412805,228.21095943748,1998.2498464791754,162.27690237557806,-1.609823858023245
1776900108.351672,228.08878898460287,1998.066794841937,162.176085388657,-1.6110267961848852
1776900108.3610482,228.22411980172492,1998.258389589651,162.25213205343508,-1.6098306826139017
1776900108.3952432,228.19536357451508,1998.163062113816,162.2341687505366,-1.609872422158307
1776900108.3975317,228.196313299851,1998.168707752959,162.23467960917398,-1.6098222050497486
1776900108.398056,228.1274049472829,1998.1062049505513,162.17910096597274,-1.6109906183700078
1776900108.4008849,228.2477622168661,1998.2700903242364,162.26323144729557,-1.6099965855972889
1776900108.4118593,228.2447579653667,1998.2849098637369,162.25114566842387,-1.6099895277519283
1776900108.4214604,228.23624728397414,1998.2889183599061,162.26803870288518,-1.6099023343336876
1776900108.4313965,228.2362620816485,1998.2741055408023,162.25488264549392,-1.6099138815027398
1776900108.4414704,228.10144110617406,1998.1095730393595,162.17816463891396,-1.6109709669403747
1776900108.4512196,228.1910908203522,1998.1629676078892,162.24519323034804,-1.6097432861926084
1776900108.4614813,228.12547672714652,1998.170647444277,162.17958173257222,-1.6110177999142192
1776900108.4721646,228.2015548254383,1998.25160856642,162.2566140240377,-1.6098861139178742
1776900108.4997556,228.20832403151127,1998.256596846631,162.24372043862934,-1.6099217303325153
1776900108.4998026,228.22793112046472,1998.242651280559,162.2581801793347,-1.609870164663798
1776900108.5028527,228.193148507415,1998.1669932530922,162.23775562744865,-1.6099912798514389
